연월일,읍면동,법정동리,인구(계),인구(남),인구(여),세대수,기준일자
2020-10-31,장흥면,울대리,769,439,330,374,2022-12-20
2020-10-31,장흥면,부곡리,3743,1835,1908,1722,2022-12-20
2020-10-31,장흥면,석현리,399,208,191,242,2022-12-20
2020-10-31,장흥면,일영리,2664,1308,1356,1366,2022-12-20
2020-10-31,장흥면,삼상리,1013,551,462,483,2022-12-20
2020-10-31,장흥면,삼하리,693,375,318,334,2022-12-20
2020-10-31,양주1동,유양동,711,391,320,381,2022-12-20
2020-10-31,양주1동,어둔동,325,173,152,152,2022-12-20
2020-10-31,양주1동,남방동,1168,610,558,692,2022-12-20
2020-10-31,양주1동,마전동,575,306,269,301,2022-12-20
2020-10-31,양주1동,산북동,2617,1332,1285,1201,2022-12-20
2020-10-31,양주2동,광사동,11461,5775,5686,4624,2022-12-20
2020-10-31,양주2동,만송동,9357,4406,4951,3985,2022-12-20
2020-10-31,양주2동,삼숭동,20237,9964,10273,7223,2022-12-20
2020-10-31,양주2동,고읍동,9177,4446,4731,3168,2022-12-20
2020-10-31,회천1동,덕정동,8514,4352,4162,3851,2022-12-20
2020-10-31,회천1동,봉양동,1319,824,495,839,2022-12-20
2020-10-31,회천2동,덕계동,21834,11084,10750,9248,2022-12-20
2020-10-31,회천2동,회정동,5293,2688,2605,2207,2022-12-20
2020-10-31,회천3동,덕정동,10485,5194,5291,3708,2022-12-20
2020-10-31,회천3동,고암동,17170,8519,8651,7148,2022-12-20
2020-10-31,회천4동,회암동,961,561,400,550,2022-12-20
2020-10-31,회천4동,율정동,555,340,215,356,2022-12-20
2020-10-31,회천4동,옥정동,46305,23217,23088,18607,2022-12-20
2020-11-30,백석읍,방성리,6364,3320,3044,3118,2022-12-20
2020-11-30,백석읍,오산리,3542,1803,1739,1578,2022-12-20
2020-11-30,백석읍,복지리,9598,4707,4891,3546,2022-12-20
2020-11-30,백석읍,가업리,4876,2405,2471,2039,2022-12-20
2020-11-30,백석읍,홍죽리,880,482,398,476,2022-12-20
2020-11-30,백석읍,연곡리,687,379,308,349,2022-12-20
2020-11-30,백석읍,기산리,493,267,226,351,2022-12-20
2020-11-30,은현면,용암리,1308,744,564,677,2022-12-20
2020-11-30,은현면,선암리,1213,699,514,645,2022-12-20
2020-11-30,은현면,운암리,770,439,331,403,2022-12-20
2020-11-30,은현면,봉암리,963,552,411,533,2022-12-20
2020-11-30,은현면,하패리,1028,573,455,536,2022-12-20
2020-11-30,은현면,도하리,721,406,315,385,2022-12-20
2020-11-30,남면,신산리,3144,1716,1428,1580,2022-12-20
2020-11-30,남면,신암리,344,188,156,198,2022-12-20
2020-11-30,남면,매곡리,338,153,185,189,2022-12-20
2020-11-30,남면,구암리,398,228,170,220,2022-12-20
2020-11-30,남면,두곡리,155,87,68,107,2022-12-20
2020-11-30,남면,경신리,298,194,104,184,2022-12-20
2020-11-30,남면,상수리,1065,629,436,627,2022-12-20
2020-11-30,남면,입암리,417,253,164,252,2022-12-20
2020-11-30,남면,한산리,571,314,257,313,2022-12-20
2020-11-30,남면,황방리,331,183,148,163,2022-12-20
2020-11-30,광적면,가납리,5353,2867,2486,2598,2022-12-20
2020-11-30,광적면,광석리,1405,741,664,616,2022-12-20
2020-11-30,광적면,덕도리,655,280,375,248,2022-12-20
2020-11-30,광적면,비암리,361,178,183,203,2022-12-20
2020-11-30,광적면,석우리,560,320,240,280,2022-12-20
2020-11-30,광적면,우고리,905,530,375,488,2022-12-20
2020-11-30,광적면,효촌리,2731,1544,1187,1491,2022-12-20
2020-11-30,장흥면,교현리,1104,616,488,513,2022-12-20
2020-11-30,장흥면,울대리,765,435,330,373,2022-12-20
2020-11-30,장흥면,부곡리,3755,1841,1914,1729,2022-12-20
2020-11-30,장흥면,석현리,410,214,196,251,2022-12-20
2020-11-30,장흥면,일영리,2680,1314,1366,1370,2022-12-20
